Date,HomeTeam,AwayTeam,Home_PPG_5,Away_PPG_5,Home_PPG_15,Away_PPG_15,Home_GF_5,Home_GA_5,Away_GF_5,Away_GA_5,Home_GD_5,Away_GD_5,Home_GF_15,Home_GA_15,Away_GF_15,Away_GA_15,Home_GD_15,Away_GD_15,Diff_PPG_5,Diff_PPG_15,Diff_GF_5,Diff_GA_5,Diff_GF_15,Diff_GA_15,Diff_GD_5,Diff_GD_15,Home_GP_5,Away_GP_5,Home_GP_15,Away_GP_15,Total_GF_5,Total_GF_15,Abs_PPG_Diff_5,Abs_PPG_Diff_15,Is_Close_5,Is_Close_15,FTR
2018-08-10,Man United,Leicester,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,H
2018-08-11,Bournemouth,Cardiff,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,H
2018-08-11,Fulham,Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,A
2018-08-11,Huddersfield,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,A
2018-08-11,Newcastle,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,A
2018-08-11,Watford,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,H
2018-08-11,Wolves,Everton,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,D
2018-08-12,Arsenal,Man City,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,A
2018-08-12,Liverpool,West Ham,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,H
2018-08-12,Southampton,Burnley,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,D
2018-08-18,West Ham,Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,A
2018-08-18,Tottenham,Fulham,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,H
2018-08-18,Leicester,Wolves,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,H
2018-08-18,Chelsea,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,H
2018-08-18,Cardiff,Newcastle,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,D
2018-08-18,Everton,Southampton,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,H
2018-08-19,Brighton,Man United,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,H
2018-08-19,Burnley,Watford,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,A
2018-08-19,Man City,Huddersfield,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,H
2018-08-20,Crystal Palace,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,A
2018-08-25,Southampton,Leicester,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.0,0.0,0.0,1.0,2.0,0.0,-1.0,1.0,1.0,-1.0,-2.0,-1.0,-2.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0,0,0,A
2018-08-25,Wolves,Man City,1.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,-2.0,-2.0,0.0,2.0,0.0,2.0,-2.0,-2.0,1,1,1,1,4.0,4.0,2.0,2.0,0,0,D
2018-08-25,Liverpool,Brighton,3.0,0.0,3.0,0.0,4.0,0.0,0.0,2.0,4.0,-2.0,4.0,0.0,0.0,2.0,4.0,-2.0,3.0,3.0,4.0,-2.0,4.0,-2.0,6.0,6.0,1,1,1,1,4.0,4.0,3.0,3.0,0,0,H
2018-08-25,Bournemouth,Everton,3.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,-2.0,0.0,-2.0,2.0,2.0,1,1,1,1,4.0,4.0,2.0,2.0,0,0,D
2018-08-25,Arsenal,West Ham,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,-2.0,-4.0,0.0,2.0,0.0,4.0,-2.0,-4.0,0.0,0.0,0.0,-2.0,0.0,-2.0,2.0,2.0,1,1,1,1,0.0,0.0,0.0,0.0,1,1,H
2018-08-25,Huddersfield,Cardiff,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,-3.0,-2.0,0.0,3.0,0.0,2.0,-3.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,1,1,1,1,0.0,0.0,0.0,0.0,1,1,D
2018-08-26,Fulham,Burnley,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,-2.0,0.0,0.0,2.0,0.0,0.0,-2.0,0.0,-1.0,-1.0,0.0,2.0,0.0,2.0,-2.0,-2.0,1,1,1,1,0.0,0.0,1.0,1.0,0,0,H
2018-08-26,Newcastle,Chelsea,0.0,3.0,0.0,3.0,1.0,2.0,3.0,0.0,-1.0,3.0,1.0,2.0,3.0,0.0,-1.0,3.0,-3.0,-3.0,-2.0,2.0,-2.0,2.0,-4.0,-4.0,1,1,1,1,4.0,4.0,3.0,3.0,0,0,A
2018-08-26,Watford,Crystal Palace,3.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,4.0,4.0,0.0,0.0,1,1,H
2018-08-27,Man United,Tottenham,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,4.0,4.0,0.0,0.0,1,1,A
2018-09-01,Everton,Huddersfield,3.0,0.0,3.0,0.0,2.0,1.0,1.0,6.0,1.0,-5.0,2.0,1.0,1.0,6.0,1.0,-5.0,3.0,3.0,1.0,-5.0,1.0,-5.0,6.0,6.0,1,1,1,1,3.0,3.0,3.0,3.0,0,0,D
2018-09-01,Brighton,Fulham,3.0,0.0,3.0,0.0,3.0,2.0,1.0,3.0,1.0,-2.0,3.0,2.0,1.0,3.0,1.0,-2.0,3.0,3.0,2.0,-1.0,2.0,-1.0,3.0,3.0,1,1,1,1,4.0,4.0,3.0,3.0,0,0,D
2018-09-01,Chelsea,Bournemouth,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1,1,5.0,5.0,0.0,0.0,1,1,H
2018-09-01,Crystal Palace,Southampton,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,-2.0,-1.0,0.0,2.0,1.0,2.0,-2.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,1,1,1,1,1.0,1.0,0.0,0.0,1,1,A
2018-09-01,Leicester,Liverpool,3.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,4.0,4.0,0.0,0.0,1,1,A
2018-09-01,Man City,Newcastle,3.0,1.0,3.0,1.0,6.0,1.0,0.0,0.0,5.0,0.0,6.0,1.0,0.0,0.0,5.0,0.0,2.0,2.0,6.0,1.0,6.0,1.0,5.0,5.0,1,1,1,1,6.0,6.0,2.0,2.0,0,0,H
2018-09-01,West Ham,Wolves,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,-1.0,-2.0,1.0,2.0,0.0,2.0,-1.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1,1,1,1.0,1.0,0.0,0.0,1,1,A
2018-09-02,Burnley,Man United,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,-2.0,-1.0,1.0,3.0,2.0,3.0,-2.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,1,1,1,1,3.0,3.0,0.0,0.0,1,1,A
2018-09-02,Cardiff,Arsenal,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,-1.0,0.0,0.0,2.0,3.0,0.0,-1.0,1.0,1.0,-2.0,-3.0,-2.0,-3.0,1.0,1.0,1,1,1,1,2.0,2.0,1.0,1.0,0,0,A
2018-09-02,Watford,Tottenham,3.0,3.0,3.0,3.0,2.0,0.5,2.5,0.5,1.5,2.0,2.0,0.5,2.5,0.5,1.5,2.0,0.0,0.0,-0.5,0.0,-0.5,0.0,-0.5,-0.5,2,2,2,2,4.5,4.5,0.0,0.0,1,1,H
2018-09-15,Tottenham,Liverpool,3.0,3.0,3.0,3.0,3.0,1.0,2.0,0.5,2.0,1.5,3.0,1.0,2.0,0.5,2.0,1.5,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.5,1,2,1,2,5.0,5.0,0.0,0.0,1,1,A
2018-09-15,Watford,Man United,3.0,1.5,3.0,1.5,2.0,0.6666666666666666,2.0,1.5,1.3333333333333335,0.5,2.0,0.6666666666666666,2.0,1.5,1.3333333333333335,0.5,1.5,1.5,0.0,-0.8333333333333334,0.0,-0.8333333333333334,0.8333333333333335,0.8333333333333335,3,2,3,2,4.0,4.0,1.5,1.5,0,0,A
